Template,Title,Category
"<p>Hi {name},</p> <p>My name is {name} with {Your Company}.</p> <p>We help {specific company type} with {one liner}.</p> <p>I wanted to learn how you handle {thing your company handles} at {Company Name} and show you what we're working on.</p> <p>Are you available for a brief call at {time options}.</p>",{Company Name} + {Your Company},Cold Email Templates
"<p>Hi Mike, <br/><br/>My name is Nick and I’m a co-founder at Smart Host. We help property managers optimize their pricing on marketplaces like HomeAway, VRBO, and Flipkey. <br/><br/>I wanted to learn how you currently handle price optimization and show you what we're working on. <br/><br/>Are you available for a quick call tomorrow afternoon?</p>",{Company Name} + Smart Host,Cold Email Templates
"<p>{name}, <br/><br/>I'd like to discuss your lead gen efforts. <br/><br/>We're helping other [industry] companies collect their prospects straight from professional social networks and import them directly into their CRM (adding phone numbers and email addresses). <br/><br/>Quick question: can you put me in touch with whoever is responsible for new prospecting and revenue­ generating tools at {company}?</p> <p>Hi {name}, <br/><br/>{myName} from {myCompany} here. <br/><br/>Companies make more sales with consistent marketing. {myCompany} can put proven sales tools into the hands of everyone who sells your product. <br/><br/>If that sound useful, I can explain how it works.</p> <p>Hi {name}, <br/><br/>I’m trying to figure out who is in charge of [leading general statement] there at {company}. <br/><br/>Would you mind pointing me towards the right person please, and the best way I might get in touch with them?</p> <p>Hello {name}, <br/><br/>What would it mean to your top-line revenue if you saw a 70% increase in contact rates, 50% improvement in closes, and 40% increase in quota-hitting sales reps? <br/><br/>Let’s find a few minutes to talk about how InsideSales.com is providing these results to our clients. <br/><br/>I’m available tomorrow {insert 2 times you’re available}. Can we sync up?</p> <p>Hi {name}, <br/><br/>I hope this note finds you well. <br/><br/>I’ve been working for a company called {my company} that specializes in X, Y and Z. In thinking about your role at {company}, I thought there might be a good fit for your group. <br/><br/>Our {product name} has garnered a lot of attention in the marketplace and I think it’s something that your organization might see immediate value in. <br/><br/>Can you help me get in contact with the right decision-maker?</p>",How to Export [company] Prospects from professional social networks and into your CRM,Cold Email Templates
"<p>{name}, <br/><br/>I am doing some research on your company to determine if there is (or is not) a need for [insert your strongest pain point]. <br/><br/>Could you please help me by pointing me to the best person there for a brief discussion? {name}, <br/><br/>I am doing some research on your company to determine if there is (or is not) a need for [insert your strongest pain point]. <br/><br/>Could you please help me by pointing me to the best person there for a brief discussion?</p>",Looking for best [insert job area where you’d like to start] contact,Cold Email Templates
"<p>{name}, <br/><br/>I’m hoping you can help me, who handles the [insert pain point here] decisions at {company} and how might I get in touch with them?</p>",Where shall I start?,Cold Email Templates
"<p>Hi {name},</p> <p>My name is {name} with {Your Company}.</p> <p>We help {specific company type} with {one liner}.</p> <p>I wanted to learn how you handle {thing your company handles} at {Company Name} and show you what we're working on.</p> <p>Are you available for a brief call at {time options}.</p>",[theircompanyname] and [yourcompanyname],Cold Email Templates
"<p>{name} <br/><br/>We have a service that will help you [insert quick one-liner about the value your service delivers]. <br/><br/>Would you guide me to the person responsible for [insert the relevant department or task your service empowers — “marketing, sales, pipeline building”] and let me know how I might get in touch with them?</p> <p>{name}, <br/><br/>We have a service that will help you [insert quick one-liner about the value your service delivers] and have helped similar businesses achieve XYZ results. <br/><br/>What’s the best day/time this week or next for a quick 15-minute conversation?</p>",Appropriate person,Cold Email Templates
"<p>I was wondering if you were looking for more business customers? <br/><br/>I know the majority of small businesses are always looking for a great accountant and I'd be able to generate leads for you if this is something you're interested in. <br/><br/>Are there any types of businesses in particular that make good clients for you? <br/><br/>Name <br/><br/>P.S. If you aren't the right person to contact about this, please let me know</p>",Looking for an Accountant,Cold Email Templates
"<p>Hello {name}, <br/><br/>I have an idea that I can explain in 10 minutes that can get {company} it’s next [100 best clients]. <br/><br/>I recently used this idea to help our client {competitor} almost triple their monthly run rate. <br/><br/>{name}, Let’s schedule a 10 minute call so I can explain. When works best for you?</p> <p>Hi {name}, <br/><br/>This is {salesrep} with RJMetrics. I just took a quick look at your site and noticed that {company} looks similar to many of the SaaS clients that we help every day. <br/><br/>I’m sure you’re already thinking about engagement metrics and ROI by acquisition source, but I’d love to get a sense of how you’re uncovering that data and share some insights we’ve learned along the way towards understanding the story behind your business. <br/><br/>If I’ve got the right person, can we connect in the next few days? If not, who would you recommend I speak with?</p>",10 x {company} [result] in ten minutes?,Cold Email Templates
"<p>Hi {name}, <br/><br/>This is SDR with RJMetrics. Wanted to introduce myself, as {company}'s sales development platform looks similar to many of the businesses we work with everyday. <br/><br/>While I've got your attention, we'd love it if you guys gave RJMetrics a spin. Our clients are using us to do things like optimizing customer acquisition spend, understand drivers of CLV, and standardize reporting of KPIs across internal teams and investors. <br/><br/>I’m assuming you’re the best person for this - If not, who would you recommend I speak with?</p>",Appropriate Person?,Cold Email Templates
"<p>{name}, <br/><br/>Bookkeeping sucks, and you have a business to run. You created CompanyName out of a passion to do something great, unique, and game-changing. Not to spend your limitless talents and limited time on day-to-day bookkeeping tasks. AcuityComplete’s bookkeeping professionals want you to focus your time and efforts on growing CompanyName into an empire; not worrying about whether your books are reconciled correctly. <br/><br/>If your core business competency isn’t bookkeeping, let’s talk. I’d love to find out more about CompanyName and how we can help eliminate this headache for you. <br/><br/>Do you have any current issues that we can help answer?</p>","Bookkeeping sucks, let us handle it.",Cold Email Templates
